occurrence_no,identified_name,identified_rank,identified_no,accepted_name,accepted_attr,accepted_rank,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat
1331319,Dinosauria ? indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Maastrichtian,,70.6,66,59346,-105.784897,49.622002
1331430,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Middle Turonian,,93.5,89.3,1965,-106.735809,34.307762
1331454,Saurischia indet.,unranked clade,38505,Saurischia,,unranked clade,Late Campanian,,83.5,70.6,1965,-107,35.700001
1331455,Hadrosauroidea indet.,unranked clade,52811,Hadrosauroidea,,unranked clade,Late Campanian,,83.5,70.6,1965,-107,35.700001
1331508,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Maastrichtian,,72.1,66,2853,-108.085297,36.972301
1331509,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Campanian,,83.5,70.6,2853,-108.223167,36.709743
1331513,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Campanian,,83.5,70.6,59352,-108.191299,36.256599
1331516,Alamosaurus ? sanjuanensis,species,63399,Alamosaurus sanjuanensis,,species,Late Maastrichtian,,70.6,66,59352,-108.084198,36.343899
1331517,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Maastrichtian,,70.6,66,59352,-108.135902,36.3568
1331519,Hadrosauridae ? indet.,family,38755,Hadrosauridae,,family,Late Campanian,,83.5,70.6,55798,-124.432884,42.324001
1331520,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Late Campanian,,83.5,70.6,59353,-108.784203,43.497002
1331521,Hadrosaurinae indet.,subfamily,53382,Hadrosaurinae,,subfamily,Late Campanian,,83.5,70.6,59354,-108.797943,44.112686
1331522,Tyrannosauridae indet.,family,38606,Tyrannosauridae,,family,Late Campanian,,83.5,70.6,59354,-108.797943,44.112686
1331794,Nodosauridae indet.,family,38817,Nodosauridae,,family,Early Maastrichtian,,70.6,66,59398,-86.580437,31.985815
1331856,Dinosauria indet.,unranked clade,90099,Dinosauria,,unranked clade,Cenomanian,,100.5,93.9,59401,1.34089,44.919941
